Training: 2023-08-17 21:02:38,665-rank_id: 0
Training: 2023-08-17 21:36:58,815-Speed 141.48 samples/sec   Loss 1.2362   LearningRate 0.000030   Epoch: 0   Global Step: 8770   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:01,081-Speed 141.25 samples/sec   Loss 1.2460   LearningRate 0.000030   Epoch: 0   Global Step: 8780   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:03,338-Speed 141.81 samples/sec   Loss 1.2417   LearningRate 0.000030   Epoch: 0   Global Step: 8790   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:05,604-Speed 141.24 samples/sec   Loss 1.2564   LearningRate 0.000030   Epoch: 0   Global Step: 8800   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:07,868-Speed 141.39 samples/sec   Loss 1.2988   LearningRate 0.000030   Epoch: 0   Global Step: 8810   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:37:10,134-Speed 141.30 samples/sec   Loss 1.2619   LearningRate 0.000030   Epoch: 0   Global Step: 8820   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:37:12,391-Speed 141.80 samples/sec   Loss 1.2741   LearningRate 0.000030   Epoch: 0   Global Step: 8830   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:14,659-Speed 141.10 samples/sec   Loss 1.2651   LearningRate 0.000030   Epoch: 0   Global Step: 8840   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:16,921-Speed 141.57 samples/sec   Loss 1.2890   LearningRate 0.000030   Epoch: 0   Global Step: 8850   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:19,170-Speed 142.31 samples/sec   Loss 1.2586   LearningRate 0.000030   Epoch: 0   Global Step: 8860   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:21,437-Speed 141.17 samples/sec   Loss 1.2288   LearningRate 0.000030   Epoch: 0   Global Step: 8870   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:23,701-Speed 141.41 samples/sec   Loss 1.2236   LearningRate 0.000030   Epoch: 0   Global Step: 8880   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:25,965-Speed 141.40 samples/sec   Loss 1.2682   LearningRate 0.000030   Epoch: 0   Global Step: 8890   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:28,223-Speed 141.75 samples/sec   Loss 1.2553   LearningRate 0.000030   Epoch: 0   Global Step: 8900   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:30,509-Speed 140.04 samples/sec   Loss 1.2264   LearningRate 0.000030   Epoch: 0   Global Step: 8910   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:32,812-Speed 138.95 samples/sec   Loss 1.2601   LearningRate 0.000030   Epoch: 0   Global Step: 8920   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:35,088-Speed 140.67 samples/sec   Loss 1.2510   LearningRate 0.000030   Epoch: 0   Global Step: 8930   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:37,375-Speed 139.91 samples/sec   Loss 1.2871   LearningRate 0.000030   Epoch: 0   Global Step: 8940   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:39,652-Speed 140.57 samples/sec   Loss 1.2546   LearningRate 0.000030   Epoch: 0   Global Step: 8950   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:37:41,951-Speed 139.25 samples/sec   Loss 1.2232   LearningRate 0.000030   Epoch: 0   Global Step: 8960   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:44,235-Speed 140.17 samples/sec   Loss 1.2563   LearningRate 0.000030   Epoch: 0   Global Step: 8970   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:46,517-Speed 140.25 samples/sec   Loss 1.2354   LearningRate 0.000030   Epoch: 0   Global Step: 8980   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:48,798-Speed 140.36 samples/sec   Loss 1.2491   LearningRate 0.000030   Epoch: 0   Global Step: 8990   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:50,860-Val on RAF/AffectNet:
Training: 2023-08-17 21:37:50,969-Test: [0/48]	Time 0.109 (0.109)	Loss 0.5280 (0.5280)	Acc@1 90.625 (90.625)	Acc@5 100.000 (100.000)	Mem 5268MB
Training: 2023-08-17 21:37:52,015-Test: [10/48]	Time 0.107 (0.105)	Loss 0.6228 (0.5945)	Acc@1 89.062 (90.483)	Acc@5 98.438 (99.290)	Mem 5268MB
Training: 2023-08-17 21:37:53,059-Test: [20/48]	Time 0.103 (0.105)	Loss 0.5980 (0.6001)	Acc@1 90.625 (90.253)	Acc@5 100.000 (99.182)	Mem 5268MB
Training: 2023-08-17 21:37:54,116-Test: [30/48]	Time 0.105 (0.105)	Loss 0.5290 (0.5959)	Acc@1 93.750 (90.625)	Acc@5 100.000 (99.194)	Mem 5268MB
Training: 2023-08-17 21:37:55,164-Test: [40/48]	Time 0.105 (0.105)	Loss 0.4347 (0.6000)	Acc@1 96.875 (90.549)	Acc@5 100.000 (99.123)	Mem 5268MB
Training: 2023-08-17 21:37:55,890-[8999]Expression Loss: 0.60826
Training: 2023-08-17 21:37:55,891-[8999]Expression Acc@1: 90.25424
Training: 2023-08-17 21:37:55,891-[8999]Expression Acc@1-Highest: 91.65580
Training: 2023-08-17 21:37:55,891-[8999]Expression Acc@5: 99.05476
Training: 2023-08-17 21:37:55,891-[8999]Expression Acc@5-Highest: 99.28292
Training: 2023-08-17 21:37:55,891-[8999]10 Times Expression Acc@1: 88.55932
Training: 2023-08-17 21:37:55,891-[8999]10 Times Expression Acc@1-Highest: 88.55932
Training: 2023-08-17 21:37:56,119-Speed 43.71 samples/sec   Loss 1.3104   LearningRate 0.000030   Epoch: 0   Global Step: 9000   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:37:58,387-Speed 141.12 samples/sec   Loss 1.2416   LearningRate 0.000030   Epoch: 0   Global Step: 9010   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:00,647-Speed 141.66 samples/sec   Loss 1.2345   LearningRate 0.000030   Epoch: 0   Global Step: 9020   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:02,932-Speed 140.06 samples/sec   Loss 1.2638   LearningRate 0.000030   Epoch: 0   Global Step: 9030   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:05,203-Speed 140.95 samples/sec   Loss 1.2671   LearningRate 0.000030   Epoch: 0   Global Step: 9040   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:07,481-Speed 140.53 samples/sec   Loss 1.2538   LearningRate 0.000030   Epoch: 0   Global Step: 9050   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:09,758-Speed 140.59 samples/sec   Loss 1.2876   LearningRate 0.000030   Epoch: 0   Global Step: 9060   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:38:12,036-Speed 140.48 samples/sec   Loss 1.2831   LearningRate 0.000030   Epoch: 0   Global Step: 9070   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:38:14,303-Speed 141.19 samples/sec   Loss 1.2724   LearningRate 0.000030   Epoch: 0   Global Step: 9080   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:38:16,561-Speed 141.80 samples/sec   Loss 1.2538   LearningRate 0.000030   Epoch: 0   Global Step: 9090   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:18,840-Speed 140.43 samples/sec   Loss 1.2436   LearningRate 0.000030   Epoch: 0   Global Step: 9100   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:21,111-Speed 140.96 samples/sec   Loss 1.2311   LearningRate 0.000030   Epoch: 0   Global Step: 9110   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:23,386-Speed 140.67 samples/sec   Loss 1.3223   LearningRate 0.000030   Epoch: 0   Global Step: 9120   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:25,662-Speed 140.65 samples/sec   Loss 1.2888   LearningRate 0.000030   Epoch: 0   Global Step: 9130   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:27,947-Speed 140.14 samples/sec   Loss 1.2513   LearningRate 0.000030   Epoch: 0   Global Step: 9140   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:30,250-Speed 138.93 samples/sec   Loss 1.2499   LearningRate 0.000030   Epoch: 0   Global Step: 9150   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:32,542-Speed 139.70 samples/sec   Loss 1.2594   LearningRate 0.000030   Epoch: 0   Global Step: 9160   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:34,820-Speed 140.51 samples/sec   Loss 1.2451   LearningRate 0.000030   Epoch: 0   Global Step: 9170   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:37,098-Speed 140.47 samples/sec   Loss 1.2472   LearningRate 0.000029   Epoch: 0   Global Step: 9180   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:39,399-Speed 139.10 samples/sec   Loss 1.2629   LearningRate 0.000029   Epoch: 0   Global Step: 9190   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:38:41,672-Speed 140.85 samples/sec   Loss 1.2733   LearningRate 0.000029   Epoch: 0   Global Step: 9200   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:43,962-Speed 139.79 samples/sec   Loss 1.2663   LearningRate 0.000029   Epoch: 0   Global Step: 9210   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:46,259-Speed 139.33 samples/sec   Loss 1.2330   LearningRate 0.000029   Epoch: 0   Global Step: 9220   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:48,557-Speed 139.29 samples/sec   Loss 1.2492   LearningRate 0.000029   Epoch: 0   Global Step: 9230   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:50,844-Speed 139.94 samples/sec   Loss 1.2349   LearningRate 0.000029   Epoch: 0   Global Step: 9240   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:53,135-Speed 139.70 samples/sec   Loss 1.2689   LearningRate 0.000029   Epoch: 0   Global Step: 9250   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:55,422-Speed 139.98 samples/sec   Loss 1.2265   LearningRate 0.000029   Epoch: 0   Global Step: 9260   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:57,706-Speed 140.15 samples/sec   Loss 1.2854   LearningRate 0.000029   Epoch: 0   Global Step: 9270   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:38:59,982-Speed 140.62 samples/sec   Loss 1.2663   LearningRate 0.000029   Epoch: 0   Global Step: 9280   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:02,262-Speed 140.38 samples/sec   Loss 1.2935   LearningRate 0.000029   Epoch: 0   Global Step: 9290   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:04,543-Speed 140.35 samples/sec   Loss 1.2653   LearningRate 0.000029   Epoch: 0   Global Step: 9300   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:39:06,816-Speed 140.80 samples/sec   Loss 1.2541   LearningRate 0.000029   Epoch: 0   Global Step: 9310   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:39:09,088-Speed 140.89 samples/sec   Loss 1.2687   LearningRate 0.000029   Epoch: 0   Global Step: 9320   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:11,375-Speed 139.96 samples/sec   Loss 1.2433   LearningRate 0.000029   Epoch: 0   Global Step: 9330   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:13,665-Speed 139.75 samples/sec   Loss 1.2468   LearningRate 0.000029   Epoch: 0   Global Step: 9340   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:15,944-Speed 140.42 samples/sec   Loss 1.2388   LearningRate 0.000029   Epoch: 0   Global Step: 9350   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:18,218-Speed 140.76 samples/sec   Loss 1.2229   LearningRate 0.000029   Epoch: 0   Global Step: 9360   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:20,502-Speed 140.17 samples/sec   Loss 1.2505   LearningRate 0.000029   Epoch: 0   Global Step: 9370   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:22,776-Speed 140.78 samples/sec   Loss 1.2740   LearningRate 0.000029   Epoch: 0   Global Step: 9380   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:25,046-Speed 140.96 samples/sec   Loss 1.2667   LearningRate 0.000029   Epoch: 0   Global Step: 9390   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:27,323-Speed 140.63 samples/sec   Loss 1.2103   LearningRate 0.000029   Epoch: 0   Global Step: 9400   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:29,600-Speed 140.54 samples/sec   Loss 1.2480   LearningRate 0.000029   Epoch: 0   Global Step: 9410   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:31,864-Speed 141.39 samples/sec   Loss 1.2688   LearningRate 0.000029   Epoch: 0   Global Step: 9420   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:34,176-Speed 138.44 samples/sec   Loss 1.2582   LearningRate 0.000029   Epoch: 0   Global Step: 9430   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:36,452-Speed 140.61 samples/sec   Loss 1.2696   LearningRate 0.000029   Epoch: 0   Global Step: 9440   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:38,731-Speed 140.50 samples/sec   Loss 1.2550   LearningRate 0.000029   Epoch: 0   Global Step: 9450   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:41,011-Speed 140.39 samples/sec   Loss 1.2393   LearningRate 0.000029   Epoch: 0   Global Step: 9460   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:43,290-Speed 140.45 samples/sec   Loss 1.2245   LearningRate 0.000029   Epoch: 0   Global Step: 9470   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:45,578-Speed 139.86 samples/sec   Loss 1.2304   LearningRate 0.000029   Epoch: 0   Global Step: 9480   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:47,861-Speed 140.22 samples/sec   Loss 1.2640   LearningRate 0.000029   Epoch: 0   Global Step: 9490   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:50,141-Speed 140.40 samples/sec   Loss 1.2410   LearningRate 0.000029   Epoch: 0   Global Step: 9500   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:52,418-Speed 140.54 samples/sec   Loss 1.2482   LearningRate 0.000029   Epoch: 0   Global Step: 9510   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:39:54,712-Speed 139.52 samples/sec   Loss 1.2671   LearningRate 0.000029   Epoch: 0   Global Step: 9520   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:39:57,034-Speed 137.87 samples/sec   Loss 1.2209   LearningRate 0.000029   Epoch: 0   Global Step: 9530   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:39:59,341-Speed 138.73 samples/sec   Loss 1.2419   LearningRate 0.000029   Epoch: 0   Global Step: 9540   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:40:01,666-Speed 137.67 samples/sec   Loss 1.2505   LearningRate 0.000029   Epoch: 0   Global Step: 9550   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:40:03,963-Speed 139.34 samples/sec   Loss 1.2567   LearningRate 0.000029   Epoch: 0   Global Step: 9560   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:06,283-Speed 138.03 samples/sec   Loss 1.2296   LearningRate 0.000029   Epoch: 0   Global Step: 9570   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:08,602-Speed 137.99 samples/sec   Loss 1.2722   LearningRate 0.000029   Epoch: 0   Global Step: 9580   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:10,910-Speed 138.67 samples/sec   Loss 1.2826   LearningRate 0.000029   Epoch: 0   Global Step: 9590   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:13,224-Speed 138.36 samples/sec   Loss 1.2228   LearningRate 0.000029   Epoch: 0   Global Step: 9600   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:15,544-Speed 137.97 samples/sec   Loss 1.2666   LearningRate 0.000029   Epoch: 0   Global Step: 9610   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:17,865-Speed 137.90 samples/sec   Loss 1.2397   LearningRate 0.000029   Epoch: 0   Global Step: 9620   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:20,177-Speed 138.48 samples/sec   Loss 1.2620   LearningRate 0.000029   Epoch: 0   Global Step: 9630   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:22,483-Speed 138.78 samples/sec   Loss 1.2679   LearningRate 0.000029   Epoch: 0   Global Step: 9640   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:24,806-Speed 137.77 samples/sec   Loss 1.2639   LearningRate 0.000029   Epoch: 0   Global Step: 9650   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:27,113-Speed 138.73 samples/sec   Loss 1.2542   LearningRate 0.000029   Epoch: 0   Global Step: 9660   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:40:29,421-Speed 138.74 samples/sec   Loss 1.2395   LearningRate 0.000029   Epoch: 0   Global Step: 9670   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:31,733-Speed 138.41 samples/sec   Loss 1.2376   LearningRate 0.000029   Epoch: 0   Global Step: 9680   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:34,041-Speed 138.69 samples/sec   Loss 1.2872   LearningRate 0.000029   Epoch: 0   Global Step: 9690   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:36,349-Speed 138.73 samples/sec   Loss 1.2614   LearningRate 0.000029   Epoch: 0   Global Step: 9700   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:38,653-Speed 138.93 samples/sec   Loss 1.2418   LearningRate 0.000029   Epoch: 0   Global Step: 9710   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:40,947-Speed 139.52 samples/sec   Loss 1.2410   LearningRate 0.000029   Epoch: 0   Global Step: 9720   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:43,241-Speed 139.54 samples/sec   Loss 1.2748   LearningRate 0.000029   Epoch: 0   Global Step: 9730   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:45,526-Speed 140.05 samples/sec   Loss 1.2276   LearningRate 0.000029   Epoch: 0   Global Step: 9740   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:47,833-Speed 138.74 samples/sec   Loss 1.2563   LearningRate 0.000029   Epoch: 0   Global Step: 9750   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:50,136-Speed 138.99 samples/sec   Loss 1.2423   LearningRate 0.000029   Epoch: 0   Global Step: 9760   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:52,452-Speed 138.21 samples/sec   Loss 1.2555   LearningRate 0.000029   Epoch: 0   Global Step: 9770   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:40:54,732-Speed 140.39 samples/sec   Loss 1.2393   LearningRate 0.000029   Epoch: 0   Global Step: 9780   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:57,034-Speed 139.09 samples/sec   Loss 1.2905   LearningRate 0.000029   Epoch: 0   Global Step: 9790   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:40:59,329-Speed 139.42 samples/sec   Loss 1.2576   LearningRate 0.000029   Epoch: 0   Global Step: 9800   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:01,631-Speed 139.06 samples/sec   Loss 1.2305   LearningRate 0.000029   Epoch: 0   Global Step: 9810   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:03,954-Speed 137.83 samples/sec   Loss 1.2140   LearningRate 0.000029   Epoch: 0   Global Step: 9820   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:06,268-Speed 138.28 samples/sec   Loss 1.2443   LearningRate 0.000029   Epoch: 0   Global Step: 9830   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:08,588-Speed 138.01 samples/sec   Loss 1.2588   LearningRate 0.000029   Epoch: 0   Global Step: 9840   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:10,877-Speed 139.79 samples/sec   Loss 1.2545   LearningRate 0.000029   Epoch: 0   Global Step: 9850   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:13,178-Speed 139.15 samples/sec   Loss 1.2467   LearningRate 0.000029   Epoch: 0   Global Step: 9860   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:15,482-Speed 138.92 samples/sec   Loss 1.2399   LearningRate 0.000029   Epoch: 0   Global Step: 9870   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:17,767-Speed 140.05 samples/sec   Loss 1.2601   LearningRate 0.000029   Epoch: 0   Global Step: 9880   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:20,070-Speed 138.98 samples/sec   Loss 1.2666   LearningRate 0.000029   Epoch: 0   Global Step: 9890   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:22,376-Speed 138.80 samples/sec   Loss 1.2441   LearningRate 0.000029   Epoch: 0   Global Step: 9900   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:24,679-Speed 139.02 samples/sec   Loss 1.2596   LearningRate 0.000029   Epoch: 0   Global Step: 9910   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:26,979-Speed 139.13 samples/sec   Loss 1.2585   LearningRate 0.000029   Epoch: 0   Global Step: 9920   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:29,278-Speed 139.27 samples/sec   Loss 1.2166   LearningRate 0.000029   Epoch: 0   Global Step: 9930   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:31,575-Speed 139.35 samples/sec   Loss 1.2375   LearningRate 0.000029   Epoch: 0   Global Step: 9940   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:33,852-Speed 140.60 samples/sec   Loss 1.2441   LearningRate 0.000029   Epoch: 0   Global Step: 9950   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:36,120-Speed 141.09 samples/sec   Loss 1.2772   LearningRate 0.000029   Epoch: 0   Global Step: 9960   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:38,408-Speed 139.89 samples/sec   Loss 1.2295   LearningRate 0.000029   Epoch: 0   Global Step: 9970   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:40,701-Speed 139.64 samples/sec   Loss 1.2523   LearningRate 0.000029   Epoch: 0   Global Step: 9980   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-08-17 21:41:42,961-Speed 141.63 samples/sec   Loss 1.2418   LearningRate 0.000029   Epoch: 0   Global Step: 9990   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:45,032-Val on RAF/AffectNet:
Training: 2023-08-17 21:41:45,143-Test: [0/48]	Time 0.110 (0.110)	Loss 0.5107 (0.5107)	Acc@1 92.188 (92.188)	Acc@5 100.000 (100.000)	Mem 5268MB
Training: 2023-08-17 21:41:46,199-Test: [10/48]	Time 0.104 (0.106)	Loss 0.6017 (0.5515)	Acc@1 92.188 (91.335)	Acc@5 98.438 (99.432)	Mem 5268MB
Training: 2023-08-17 21:41:47,253-Test: [20/48]	Time 0.105 (0.106)	Loss 0.5121 (0.5592)	Acc@1 92.188 (90.997)	Acc@5 100.000 (99.033)	Mem 5268MB
Training: 2023-08-17 21:41:48,327-Test: [30/48]	Time 0.107 (0.106)	Loss 0.4600 (0.5611)	Acc@1 93.750 (90.978)	Acc@5 100.000 (98.992)	Mem 5268MB
Training: 2023-08-17 21:41:49,414-Test: [40/48]	Time 0.113 (0.107)	Loss 0.7034 (0.5568)	Acc@1 82.812 (90.968)	Acc@5 95.312 (99.085)	Mem 5268MB
Training: 2023-08-17 21:41:50,170-[9999]Expression Loss: 0.56148
Training: 2023-08-17 21:41:50,170-[9999]Expression Acc@1: 90.80834
Training: 2023-08-17 21:41:50,170-[9999]Expression Acc@1-Highest: 91.65580
Training: 2023-08-17 21:41:50,170-[9999]Expression Acc@5: 99.08735
Training: 2023-08-17 21:41:50,170-[9999]Expression Acc@5-Highest: 99.28292
Training: 2023-08-17 21:41:50,170-[9999]10 Times Expression Acc@1: 88.78422
Training: 2023-08-17 21:41:50,170-[9999]10 Times Expression Acc@1-Highest: 88.78422
Training: 2023-08-17 21:41:50,400-Speed 43.02 samples/sec   Loss 1.2377   LearningRate 0.000029   Epoch: 0   Global Step: 10000   Fp16 Grad Scale: 32768   Required: 3 hours
Training: 2023-08-17 21:41:52,664-Speed 141.36 samples/sec   Loss 1.2573   LearningRate 0.000029   Epoch: 0   Global Step: 10010   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:41:54,936-Speed 140.85 samples/sec   Loss 1.2750   LearningRate 0.000029   Epoch: 0   Global Step: 10020   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:41:57,219-Speed 140.22 samples/sec   Loss 1.2221   LearningRate 0.000029   Epoch: 0   Global Step: 10030   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:41:59,497-Speed 140.50 samples/sec   Loss 1.2669   LearningRate 0.000029   Epoch: 0   Global Step: 10040   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:42:01,796-Speed 139.24 samples/sec   Loss 1.2376   LearningRate 0.000029   Epoch: 0   Global Step: 10050   Fp16 Grad Scale: 16384   Required: 3 hours
Training: 2023-08-17 21:42:04,079-Speed 140.22 samples/sec   Loss 1.2049   LearningRate 0.000029   Epoch: 0   Global Step: 10060   Fp16 Grad Scale: 16384   Required: 3 hours
